127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:49, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:50, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:00, POST, /hw2/default/add, HTTP/1.1, 303, 0.039000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:00, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-25 20:15:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/default/edit/1, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:19, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:24, GET, /admin/default/design.html/hw2, HTTP/1.1, 200, 0.169000
127.0.0.1, 2018-10-25 20:15:24, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:24, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:24, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:24, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-25 20:15:27, GET, /hw2/default/edit/1, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-10-25 20:15:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:28, GET, /hw2/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-10-25 20:15:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/default/add_reply/1, HTTP/1.1, 303, 0.041000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:31, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:15:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/default/add_reply/1, HTTP/1.1, 303, 0.037000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:15:33, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-25 20:15:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:13, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:17:15, GET, /hw2/default/edit/1, HTTP/1.1, 200, 0.095000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:17:18, POST, /hw2/default/edit/1, HTTP/1.1, 303, 0.037000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:17:18, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.007000
